Station;Abk.;Stationstyp;Type de station;Tipo di stazione;Station type;Standorttyp;Type de site;Tipo di sito;Site type;Eigentümer;Propriétaire;Proprietario;Owner;Stationshöhe m. ü. M.;KoordinatenE;KoordinatenN;Breitengrad;Längengrad;Kanton;Parameter;Paramètre;Parametro;Parameter
Piotta;PIO;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;990;2695881;1152264;46.514811;8.688039;TI;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Poschiavo / Robbia;ROB;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;1078;2801994;1136249;46.347217;10.063031;GR;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Pully;PUY;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;Agglomeration;Agglomération;Agglomerazione;Agglomeration;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;456;2540819;1151511;46.512283;6.667517;VD;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Rünenberg;RUE;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;611;2633253;1253846;47.434572;7.879414;BL;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
S. Bernardino;SBE;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;1639;2734116;1147294;46.463542;9.1847;GR;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Samedan;SAM;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;1709;2787251;1155685;46.526247;9.879469;GR;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Scuol;SCU;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;1304;2817139;1186393;46.793275;10.283267;GR;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Schaffhausen;SHA;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;Agglomeration;Agglomération;Agglomerazione;Agglomeration;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;438;2688704;1282803;47.689842;8.620142;SH;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Sion;SIO;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;482;2591633;1118584;46.21865;7.330203;VS;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
St. Gallen;STG;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;776;2747866;1254588;47.425475;9.398528;SG;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
